Zona	Condominio	Unidad
La Veleta	Coco Village	A1
La Veleta	Coco Village	A3
La Veleta	Coco Village	C2
Region 12	Aldea Savia	R25
La Veleta	Tierra Blanca	302
Aldea Zama	Chen Luum	102
Kukulkan	Waves	A108
Holistika	Ahal 1	A103
La Veleta	Smart Depas	A304
La Veleta	Smart Depas	B107
Region 12	Aldea Savia F1	 R49
Aldea Zama	Miraluna	221
Centro	Menesse	127
Tumben kaa	Luz Tulum	D302
Zona hotelera 	Amira District	B302
La Veleta	Sky Tulum	2
Tumben kaa	Edificio Jabali	PH Sin muebles
La Veleta	Zena Liza	A
Tumben kaa	Casitas	Casita 1
Tumben kaa	Casitas	Casita 2
La Veleta	Coco Village	D2
La Veleta	Cacao	C302
Region 12	Casa Toh (Surenna)	-
Mun Tulum	Mun Townhouse	8
Aldea Tulum	Aldea Tulum Plus	T52
Aldea Zama	Querido Tulum	103
Aldea Zama	Casa Natura	201
La Veleta	Rosa de Plata	F101
La Veleta	Condos Ocho	B6
Region 15	Mistiq Gardens I	213
La Veleta	Sukha	308
Tumben kaa	Xunik	B102
Tumben kaa	Xunik	T1 #105
Centro	Mama Blue	La Vie Boheme
Region 15	Mistiq Gardens I	307
La Veleta	Cacao	D201
Aldea Zama	Brava Towers 	410
Kukulkan	Mistiq Tulum	H104
Region 15	Mistiq Temple II	B110
Region 15	Mistiq Temple II	B111
Centro	Samsara	F226
Aldea Zama	Casa Natura	204
Region 15	Mistiq Temple I	C301
Region 15	Mistiq Temple II	A114
Region 15	Mistiq Temple II	B112
Region 15	Mistiq Temple II	B304
Region 15	Mistiq Temple II	B305
Aldea Zama	Brava Towers 	412
Aldea Zama	Mirak	
Region 15	Mistiq Temple II	B404
Region 15	Mistiq Villas	29
La Veleta	Sukha	301
Selva Norte	Kayum	102
Riviera Tulum	Residencial	
La Veleta	Palalma Tierra	38
Aldea Zama	Casa Melón	-
Aldea Zama	Oceano	8
Aldea Zama	Oceano	6
La Veleta	Baay	8
La Veleta	Kamil Ha	201
La Veleta	Piaf	1
Centro	Tierra Santa	204
Tumben kaa	Luz Tulum	B301
Region 15	Mistiq Temple I	B109
La Veleta	Palalma Tierra	15
Villas Tulum	Paam Cheel	202
Yax-Kin	Casa Privada	-
Region 15	Mistiq Gardens II	15
Av coba	Edena by Tao	88
Aldea Zama	Paramar Black	14
Aldea Zama	Ophelia 	105
Cenote Caracol	Casa Aneli	-
Kukulkan	Mistiq Tulum	A301
Akumal	Villa Tao	
La Veleta	Cacao	E101
Region 15	Areia 	F3 #7
Av coba	Edena by Tao	73 sin muebles
Region 15	Mistiq Gardens II	303
Aldea Zama	Lik Zama 	202
La Veleta	Edificio Zoe 	
La Veleta	Coco Village	B2
Kukulkan	Adora	101
Region 15	Mistiq Temple II	A401
Region 12	Aldea Savia 	603E
Aldea Zama	Kune	207
Bahia Principe	Condominio Baalam	-
Holistika	Amar Tulum	Muuka 
Aldea Zama	Tao	123
Av coba	Bo's Home	
Kukulkan	Naia Tulum	B11
Kukulkan	Blue Luxury Kukulkan	01 C
Kukulkan	Blue Luxury Kukulkan	PH E
Region 15	Mistiq Temple I	B111
Region 15	Mistiq Gardens I	7
Villas Tulum	Paam Cheel	104
Region 15	Mistiq Villas	14
Tumben kaa	Casa Lagunas	-
La Veleta	Boni Gardens	4
Riviera Tulum	Riviera Tulum	
Kukulkan	Blue Luxury Kukulkan	PH A
La Veleta	Palalma Tierra 	16
La Veleta	Condos Ocho 	C3
Region 15	Mistiq Gardens ll	31
km 8 Tulum/Coba	Casa Arekas	-
Aldea Zama	Zama Tower	304
Villas Tulum	Paraiso Chaak 	10
La Veleta	Naia Naay	H305
Bahia Principe	Anah suites	A14
Aldea Zama	Estela Tulum	D203
La Veleta	Erena	107 (sin muebles)
La Veleta	Erena	301 (sin muebles)
Region 15	Muuk	112
Region 15	Mistiq Temple I	-
Limas	Limas Tulum	303
La Veleta	Mulatte	5
Aldea Zama	Zama Village	Casa Elisa
Aldea Zama	Estudio en renta	
Aldea Zama	Casa Yaax	-
Holistika	Amar Tulum	301
La Veleta	Casa Selva	-
La Veleta	Casa Rosi	-
La Veleta	Casa privada en la veleta	-
Aldea Zama	Ophelia 	317
Aldea Zama	Bungalows village	218
Aldea Zama	Bungalows village	225
Region 11	Casa Coral	-
Aldea Tulum	ALDEA TULUM PLUS	T48 2A
Av coba	Edena by Tao	111
Region 15	Neo +	3
Holistika	Amar Tulum	LUNA 402
Aldea Zama	Ophelia 	310
Aldea Zama	Origen Jungle	1D
Kukulkan	Adora	102
La Veleta	Baay	1
La Veleta	Baay	2
La Veleta	Balba	1
Region 15	Angelique	304
Villas Tulum	VILLAS TULUM	
Riviera Tulum	Casa Paradise	-
Region 15	Zizal	106
Region 15	Muuk	301
La Veleta	Casa Chehchen	casa rolis
La Veleta	Casa Chehchen	casa laura
La Veleta	Casa Chehchen	estudio sky
Region 15	Mistiq Temple ll	A112
Region 12	Aldea Savia F2	523
Region 15	Mistiq Gardens I	11
La Veleta	Mulatte	
Aldea Zama	Itza 1	102
Kukulkan	Mistiq Tulum	F202
Holistika	Amar Tulum	401
Centro	Kiimak	1
Kukulkan	Mistiq Tulum	C304
Kukulkan	Mistiq Tulum	C301
Region 15	Mistiq Villas	28
Region 15	Mistiq Temple II	A402
Tumben kaa	Jabali	13
Kukulkan	Mistiq Tulum	G101
Aldea Zama	Artia	106
Av coba	Edena by Tao	61
Aldea Zama	Sanctuary Residence	201
La Veleta	Casa Imox	02A
Aldea Zama	Azara	201
Aldea Zama	Mareas Condo	2B
Av coba	Edena by tao	86
Region 15	Mistiq Temple I	#A303
Region 15	Atia	5
Aldea Zama	Parque Zama	T5 202
Centro	Tuk tulum	Fuego 111
La Veleta	Mulatte	6B
La Veleta	Buena Vida	13
Aldea Zama	Bonita Love and Explore	1
Limas	Limas Tulum	401
Region 15	Mistiq Temple ll	A101
Aldea Zama	Paramar Viva	134
Region 15	Atman Residences	117
Region 15	Atman Residences	118
Region 15	Mistiq Temple I	B306
Region 15	Mistiq Gardens I	18
Holistika	Ahal 3	1
Centro	Tuk tulum	Agua 102 (falta enlistar)
Centro	Tuk Tulum	Fuego 17
Aldea Zama	Aru Tulum	102
Region 15	Atman Residences	131
Aldea Zama	Paramar Viva	103
Aldea Zama	Azara	308
La Veleta	Casa 4 Recamaras	CA
Region 15	Mistiq Villas 	2
Aldea Zama	Zambo - Luum zama	101
Region 15	AAK	l1
La Veleta	Che Condo	1
Region 15	Mistiq Temple I	C104
La Veleta	Maia	107
Holistika	Amar Tulum	Alma 103
Region 15	Mistiq Temple I	C111
Region 15	Entorno Tulum	Villa 5
Region 15	Entorno Tulum	Villa 6
Region 15	Entorno Tulum	Villa 10
Region 15	Mistiq Temple I	A114
Tumben kaa	Tejon	E103
Tumben kaa	Villa Tumben Kaa	
Tumben kaa	Loft Mayapax	
Aldea Zama	Bonita Love And Explore	8
Region 15	Muuk	103
Region 15	Kanta 	2
Aldea Zama	solum	307b
Region 15	Mistiq gardens I	5
Region 15	mistiq gardens I	32
Region 15	Mistiq Temple I	B105
Region 15	Mistiq Temple I	C108
Region 15	Mistiq Temple ll	A102
Region 15	Mistiq Temple ll	A109
Region 15	Mistiq Temple ll	C102
Region 15	Mistiq Temple I	C114
Aldea Zama	Town Center	T7 #308 (semiamob)
Tumben kaa	Tulix	Casa #8
Region 15	Villa Niburu	-
Aldea Zama	Xalet Luxury	A402
Aldea Zama	Elle Residences	203
Region 15	Mistiq Gardens I	9
Region 15	Mistiq Gardens I	16
La Veleta	Zona Nove	Casa Pitahaya
Region 15	Mistiq Gardens ll 	1
Region 15	Mistiq Gardens ll 	11
Tumben kaa	Xunik 	T1 #301(sin muebles)
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
